date,product_id,product_name,category,anomaly_type,value,z_score,days_of_stock,avg_daily_sales,estimated_lost_sales,detail
2026-05-01,P004,단백질바,식품,sales_spike,28,3.062,,3.0,0,"판매 급증: 28개 판매 (평균 3.0개, z=3.06)"
2026-05-02,P004,단백질바,식품,sales_spike,27,2.939,,3.0,0,"판매 급증: 27개 판매 (평균 3.0개, z=2.94)"
2026-05-03,P004,단백질바,식품,sales_spike,26,2.817,,3.0,0,"판매 급증: 26개 판매 (평균 3.0개, z=2.82)"
2026-05-16,P002,블루투스이어폰,전자기기,sales_spike,124,2.562,,26.7,0,"판매 급증: 124개 판매 (평균 26.7개, z=2.56)"
2026-05-23,P002,블루투스이어폰,전자기기,sales_spike,146,3.141,,26.7,0,"판매 급증: 146개 판매 (평균 26.7개, z=3.14)"
2026-05-24,P002,블루투스이어폰,전자기기,sales_spike,129,2.694,,26.7,0,"판매 급증: 129개 판매 (평균 26.7개, z=2.69)"
2026-05-30,P001,무선마우스,전자기기,stockout_risk,15,,1.0,14.5,230550,"재고 위험: 현재 15개 (1.0일치) / 평균 14.5개/일 판매 / 예상 손실 230,550원/일"
2026-05-30,P002,블루투스이어폰,전자기기,out_of_stock,0,,0.0,26.7,1064000,"재고 소진: 현재 0개 / 평균 26.7개/일 판매 / 예상 손실 1,064,000원/일"
2026-05-30,P004,단백질바,식품,out_of_stock,0,,0.0,3.0,7500,"재고 소진: 현재 0개 / 평균 3.0개/일 판매 / 예상 손실 7,500원/일"
2026-05-30,P006,요가매트,스포츠,stockout_risk,2,,0.3,6.9,248907,"재고 위험: 현재 2개 (0.3일치) / 평균 6.9개/일 판매 / 예상 손실 248,907원/일"
2026-05-30,P008,에너지드링크,식품,stockout_risk,128,,2.8,45.7,82320,"재고 위험: 현재 128개 (2.8일치) / 평균 45.7개/일 판매 / 예상 손실 82,320원/일"
2026-05-30,P003,텀블러,생활용품,no_sales_with_stock,200,,,0.0,0,"판매 0, 재고 200개 보유 / 이 상품 평균 판매량 0.0개/일"
