date,product_id,product_name,category,region,sales_qty,stock_qty,unit_price,revenue
2026-05-01,P001,?? ??? 2L,??,??,53,1500,800,42400
2026-05-01,P002,??? 90g,??,??,36,1000,1500,54000
2026-05-01,P003,??? 5?,??,??,93,2500,3600,334800
2026-05-01,P004,?? ???? 100?,??,??,31,700,15900,492900
2026-05-01,P005,?? ?? 400ml,????,??,13,350,8900,115700
2026-05-01,P006,2080 ?? 120g,????,??,13,500,3500,45500
2026-05-01,P007,??? ???? 350g,????,??,50,1200,5500,275000
2026-05-01,P008,?? ???? 80g,???,??,28,400,2200,61600
2026-05-02,P001,?? ??? 2L,??,??,53,1447,800,42400
2026-05-02,P002,??? 90g,??,??,38,964,1500,57000
2026-05-02,P003,??? 5?,??,??,97,2407,3600,349200
2026-05-02,P004,?? ???? 100?,??,??,33,669,15900,524700
2026-05-02,P005,?? ?? 400ml,????,??,15,337,8900,133500
2026-05-02,P006,2080 ?? 120g,????,??,19,487,3500,66500
2026-05-02,P007,??? ???? 350g,????,??,42,1150,5500,231000
2026-05-02,P008,?? ???? 80g,???,??,24,372,2200,52800
2026-05-03,P001,?? ??? 2L,??,??,56,1394,800,44800
2026-05-03,P002,??? 90g,??,??,45,926,1500,67500
2026-05-03,P003,??? 5?,??,??,95,2310,3600,342000
2026-05-03,P004,?? ???? 100?,??,??,27,636,15900,429300
2026-05-03,P005,?? ?? 400ml,????,??,15,322,8900,133500
2026-05-03,P006,2080 ?? 120g,????,??,13,468,3500,45500
2026-05-03,P007,??? ???? 350g,????,??,45,1108,5500,247500
2026-05-03,P008,?? ???? 80g,???,??,32,348,2200,70400
2026-05-04,P001,?? ??? 2L,??,??,61,1338,800,48800
2026-05-04,P002,??? 90g,??,??,36,881,1500,54000
2026-05-04,P003,??? 5?,??,??,99,2215,3600,356400
2026-05-04,P004,?? ???? 100?,??,??,29,609,15900,461100
2026-05-04,P005,?? ?? 400ml,????,??,16,307,8900,142400
2026-05-04,P006,2080 ?? 120g,????,??,14,455,3500,49000
2026-05-04,P007,??? ???? 350g,????,??,51,1063,5500,280500
2026-05-04,P008,?? ???? 80g,???,??,22,316,2200,48400
2026-05-05,P001,?? ??? 2L,??,??,34,1277,800,27200
2026-05-05,P002,??? 90g,??,??,34,845,1500,51000
2026-05-05,P003,??? 5?,??,??,84,2116,3600,302400
2026-05-05,P004,?? ???? 100?,??,??,32,580,15900,508800
2026-05-05,P005,?? ?? 400ml,????,??,15,291,8900,133500
2026-05-05,P006,2080 ?? 120g,????,??,14,441,3500,49000
2026-05-05,P007,??? ???? 350g,????,??,53,1012,5500,291500
2026-05-05,P008,?? ???? 80g,???,??,24,294,2200,52800
2026-05-06,P001,?? ??? 2L,??,??,54,1243,800,43200
2026-05-06,P002,??? 90g,??,??,36,811,1500,54000
2026-05-06,P003,??? 5?,??,??,96,2032,3600,345600
2026-05-06,P004,?? ???? 100?,??,??,32,548,15900,508800
2026-05-06,P005,?? ?? 400ml,????,??,15,276,8900,133500
2026-05-06,P006,2080 ?? 120g,????,??,20,427,3500,70000
2026-05-06,P007,??? ???? 350g,????,??,52,959,5500,286000
2026-05-06,P008,?? ???? 80g,???,??,32,270,2200,70400
2026-05-07,P001,?? ??? 2L,??,??,49,1189,800,39200
