date,product_id,product_name,category,region,sales_qty,stock_qty,unit_price
2026-05-01,P001,?? ??? 2L,??,??,53,1500,800
2026-05-01,P002,??? 90g,??,??,36,1000,1500
2026-05-01,P003,??? 5?,??,??,93,2500,3600
2026-05-01,P004,?? ???? 100?,??,??,31,700,15900
2026-05-01,P005,?? ?? 400ml,????,??,13,350,8900
2026-05-01,P006,2080 ?? 120g,????,??,13,500,3500
2026-05-01,P007,??? ???? 350g,????,??,50,1200,5500
2026-05-01,P008,?? ???? 80g,???,??,28,400,2200
2026-05-02,P001,?? ??? 2L,??,??,53,1447,800
2026-05-02,P002,??? 90g,??,??,38,964,1500
2026-05-02,P003,??? 5?,??,??,97,2407,3600
2026-05-02,P004,?? ???? 100?,??,??,33,669,15900
2026-05-02,P005,?? ?? 400ml,????,??,15,337,8900
2026-05-02,P006,2080 ?? 120g,????,??,19,487,3500
2026-05-02,P007,??? ???? 350g,????,??,42,1150,5500
2026-05-02,P008,?? ???? 80g,???,??,24,372,2200
2026-05-03,P001,?? ??? 2L,??,??,56,1394,800
2026-05-03,P002,??? 90g,??,??,45,926,1500
2026-05-03,P003,??? 5?,??,??,95,2310,3600
2026-05-03,P004,?? ???? 100?,??,??,27,636,15900
2026-05-03,P005,?? ?? 400ml,????,??,15,322,8900
2026-05-03,P006,2080 ?? 120g,????,??,13,468,3500
2026-05-03,P007,??? ???? 350g,????,??,45,1108,5500
2026-05-03,P008,?? ???? 80g,???,??,32,348,2200
2026-05-04,P001,?? ??? 2L,??,??,61,1338,800
2026-05-04,P002,??? 90g,??,??,36,881,1500
2026-05-04,P003,??? 5?,??,??,99,2215,3600
2026-05-04,P004,?? ???? 100?,??,??,29,609,15900
2026-05-04,P005,?? ?? 400ml,????,??,16,307,8900
2026-05-04,P006,2080 ?? 120g,????,??,14,455,3500
2026-05-04,P007,??? ???? 350g,????,??,51,1063,5500
2026-05-04,P008,?? ???? 80g,???,??,22,316,2200
2026-05-05,P001,?? ??? 2L,??,??,34,1277,800
2026-05-05,P002,??? 90g,??,??,34,845,1500
2026-05-05,P003,??? 5?,??,??,84,2116,3600
2026-05-05,P004,?? ???? 100?,??,??,32,580,15900
2026-05-05,P005,?? ?? 400ml,????,??,15,291,8900
2026-05-05,P006,2080 ?? 120g,????,??,14,441,3500
2026-05-05,P007,??? ???? 350g,????,??,53,1012,5500
